   60
HE+ 0/H + 1  24/P=4.000D+00/S=1.000D+00/A=4.731D+00/E=0.000D+00/T=CX /ISEL=    1
 6.211D-15 7.676D-15 8.812D-15 7.394D-15 5.236D-15 4.010D-15
 3.242D-15 2.341D-15 1.650D-15 1.106D-15 8.315D-16 5.557D-16
 4.172D-16 3.340D-16 2.388D-16 1.672D-16 1.115D-16 8.367D-17 
HE+ 0/C + 6  20/P=4.000D+00/S=1.200D+01/A=0.761D+00/E=2.458D+01/T=ION/ISEL=   34
 5.000D+03 7.000D+03 1.000D+04 1.500D+04 2.000D+04 3.000D+04
 4.000D+04 5.000D+04 7.000D+04 1.000D+05 1.500D+05 2.000D+05
 3.000D+05 4.000D+05 5.000D+05 7.000D+05 1.000D+06 1.500D+06
 2.000D+06 5.000D+06 
 2.400D-18 2.680D-18 3.170D-18 4.000D-18 4.950D-18 8.000D-18
 1.370D-17 2.670D-17 9.300D-17 2.950D-16 5.600D-16 7.200D-16
 8.000D-16 7.700D-16 7.300D-16 6.500D-16 5.500D-16 4.400D-16
 3.650D-16 1.850D-16  
HE+ 0/C + 6  20/P=4.000D+00/S=1.200D+01/A=0.761D+00/E=2.458D+01/T=ION/ISEL=   35
 5.000D+03 7.000D+03 1.000D+04 1.500D+04 2.000D+04 3.000D+04
 4.000D+04 5.000D+04 7.000D+04 1.000D+05 1.500D+05 2.000D+05
 3.000D+05 4.000D+05 5.000D+05 7.000D+05 1.000D+06 1.500D+06
